country,region,income,gdp,population
Aruba,LCN,High,35563.3125,103187
Afghanistan,SAS,Low,2057.062255859375,34656032
Angola,SSF,Lower Middle,8036.6904296875,25096150
Albania,ECS,Upper Middle,13724.05859375,2854191
Andorra,ECS,High,43711.80078125,82431
United Arab Emirates,MEA,High,67119.1328125,9770529
Argentina,LCN,High,23550.099609375,42981516
Armenia,ECS,Upper Middle,11019.8388671875,2906220
American Samoa,EAS,Upper Middle,11113.4423828125,55599
Antigua and Barbuda,LCN,High,17965.501953125,96777
Australia,EAS,High,47784.1796875,23789338
Austria,ECS,High,56029.61328125,8877067
Azerbaijan,ECS,Upper Middle,14853.91015625,9649341
Burundi,SSF,Low,839.7785034179686,6741569
Belgium,ECS,High,51914.9140625,11484055
Benin,SSF,Low,2227.352294921875,5521763
Burkina Faso,SSF,Low,1925.3311767578125,18110624
Bangladesh,SAS,Lower Middle,3195.737060546875,155727056
Bulgaria,ECS,Upper Middle,22279.361328125,7025037
Bahrain,MEA,High,47937.77734375,1425171
"Bahamas, The",LCN,High,35400.08203125,386838
Bosnia and Herzegovina,ECS,Upper Middle,12671.0078125,3535961
Belarus,ECS,Upper Middle,18307.51953125,9489616
Belize,LCN,Upper Middle,7259.0244140625,359288
Bermuda,NAC,High,80982.3671875,64798
Bolivia,LCN,Lower Middle,7984.41357421875,10724705
Brazil,LCN,Upper Middle,14596.24609375,208494896
Barbados,LCN,High,15444.74609375,280601
Brunei Darussalam,EAS,High,60865.98828125,423196
Bhutan,SAS,Lower Middle,6743.01611328125,686958
Botswana,SSF,Upper Middle,14126.3896484375,2014866
Central African Republic,SSF,Low,822.6104736328125,4515392
Canada,NAC,High,47672.078125,35544564
Switzerland,ECS,High,68394.2890625,8574832
Channel Islands,ECS,High,46672.59375,164541
Chile,LCN,High,20361.71484375,16829442
China,EAS,Upper Middle,16092.30078125,1400050048
Côte d’Ivoire,SSF,Lower Middle,3660.90283203125,20401332
Cameroon,SSF,Lower Middle,3262.763671875,21655716
"Congo, Dem. Rep.",SSF,Low,1055.572998046875,78736152
"Congo, Rep.",SSF,Lower Middle,4899.57958984375,2648507
Colombia,LCN,Upper Middle,12523.0068359375,46406648
Comoros,SSF,Low,2959.5400390625,777424
Cabo Verde,SSF,Lower Middle,6353.783203125,513979
Costa Rica,LCN,Upper Middle,18168.71484375,4757575
Cuba,LCN,Upper Middle,12984.7109375,11303687
Curacao,LCN,High,27503.7890625,153822
Cayman Islands,LCN,High,66207.4453125,59172
Cyprus,ECS,High,39544.68359375,1198575
Czech Republic,ECS,High,40836.328125,10669709
Germany,ECS,High,53784.78125,83132800
Djibouti,MEA,Lower Middle,6596.775390625,746221
Dominica,LCN,Upper Middle,11708.6396484375,72400
Denmark,ECS,High,57821.19921875,5818553
Dominican Republic,LCN,Upper Middle,15328.3525390625,10528394
Algeria,MEA,Upper Middle,11826.1650390625,40606052
Ecuador,LCN,Upper Middle,11896.376953125,16144368
"Egypt, Arab Rep.",MEA,Lower Middle,10301.107421875,87813256
Eritrea,SSF,Low,1714.5523681640625,4474690
Spain,ECS,High,40985.55859375,47076780
Estonia,ECS,High,36956.28515625,1326590
Ethiopia,SSF,Low,1779.083984375,99873032
